assignment.ProductAssoc,csv
productId,toProductId,productAssocTypeEnumId,fromDate,thruDate,sequenceNum,reason,quantity
P001,P002,ALSO_BOUGHT,2025-01-01,2025-12-31,1,Customers who bought P001 also bought P002,2
P001,P003,COMPLEMENT,2025-02-01,2025-12-31,2,Complete your purchase with P003,1
P002,P003,VARIANT,2025-03-01,2025-12-31,1,Variant of P002,1
P004,P005,INCOMPATIBLE,2025-01-01,2025-06-30,1,These products are incompatible,1
P003,P004,MARKET_PACKAGE,2025-04-01,2025-12-31,1,Part of a promotional market package,3
P002,P006,ALSO_BOUGHT,2025-01-15,2025-12-31,1,Customers who bought P002 also bought P006,2
P003,P007,COMPLEMENT,2025-02-10,2025-12-31,1,Complete your set with P007,1
P001,P004,INCOMPATIBLE,2025-05-01,2025-12-31,2,These products cannot be used together,1
P006,P007,MARKET_PACKAGE,2025-06-01,2025-12-31,1,Part of a combo package,2
P004,P005,VARIANT,2025-07-01,2025-12-31,1,Variant of P004,1
P007,P008,ALSO_BOUGHT,2025-01-20,2025-12-31,1,Customers who bought P007 also bought P008,3
