assignment.feature.ProductFeatureAppl,demo
productId,productFeatureId,fromDate,thruDate,applTypeEnumId
P001,PF001,"2025-02-01T00:00:00",,"STANDARD"
P001,PF002,"2025-02-01T00:00:00",,"STANDARD"
P001,PF003,"2025-02-01T00:00:00",,"STANDARD"
P002,PF004,"2025-02-01T00:00:00",,"SELECTABLE"
P002,PF005,"2025-02-01T00:00:00",,"SELECTABLE"
P002,PF006,"2025-02-01T00:00:00",,"DISTINGUISHING"
P003,PF007,"2025-02-01T00:00:00",,"OPTIONAL"
P003,PF008,"2025-02-01T00:00:00",,"OPTIONAL"
P003,PF009,"2025-02-01T00:00:00",,"STANDARD"
P004,PF010,"2025-02-01T00:00:00",,"DISTINGUISHING"
P004,PF011,"2025-02-01T00:00:00",,"STANDARD"
P004,PF012,"2025-02-01T00:00:00",,"SELECTABLE"
P005,PF013,"2025-02-01T00:00:00",,"STANDARD"
P005,PF014,"2025-02-01T00:00:00",,"SELECTABLE"
P005,PF015,"2025-02-01T00:00:00",,"DISTINGUISHING"
