assignment.feature.ProductFeature,demo
productFeatureId,productFeatureTypeEnumId,description
PF001,BRAND,"Brand of the product - Product X"
PF002,COLOR,"Color of the product - Red"
PF003,DIMENSION,"Dimensions of the product - 10x5x3 cm"
PF004,FABRIC,"Fabric material used - Cotton"
PF005,QUALITY,"Quality of the product - High"
PF006,SIZE,"Size of the product - M"
PF007,STYLE,"Style of the product - Casual"
PF008,BRAND,"Brand of the product - Product Y"
PF009,COLOR,"Color of the product - Blue"
PF010,DIMENSION,"Dimensions of the product - 12x6x4 cm"
PF011,FABRIC,"Fabric material used - Polyester"
PF012,QUALITY,"Quality of the product - Medium"
PF013,SIZE,"Size of the product - L"
PF014,STYLE,"Style of the product - Formal"
PF015,BRAND,"Brand of the product - Product Z"
PF016,COLOR,"Color of the product - Green"
PF017,DIMENSION,"Dimensions of the product - 15x8x5 cm"
PF018,FABRIC,"Fabric material used - Leather"
PF019,QUALITY,"Quality of the product - Premium"
PF020,SIZE,"Size of the product - XL"
PF021,STYLE,"Style of the product - Sporty"
